OccNo,OccYear,OccDate,OccClassID,OccurrenceType,OccSubType,AccIncType,AccIncSubType,Region,NearLocDescription,NearLocDistance,Latitude,Longitude,AreaType,PollutionIND,DGCargoReleaseIND,TotalFatalities,SeriousInjuries,NbVesselsInvolved,PrimaryVesselName,PrimaryVesselFlag,PrimaryVesselType,PrimaryVesselSubType,PrimaryVesselGrossTonnage,PrimaryVesselYearBuilt,PrimaryVesselYearRebuilt,PrimaryVesselActivityType,PrimaryVesselActivitySubType,PrimaryVesselLossIND,PRODUCTION_DT
M09W0150,2009,2009-08-03,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"PEARL POINT, BC",,54.51166,-130.4533,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,DIXON ROCK,CANADA,FISHING,UNKNOWN,,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09C0033,2009,2009-08-04,5,ACCIDENT,SHIPPING ACCIDENT,CAPSIZES,N/A,CENTRAL REGION,"SARNIA, ON",,42.98333,-82.46666,HARBOUR AREA,YES,NO,0,0,1,UNK/INC BARGE,CANADA,BARGE - UNSPECIFIED,N/A,,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09W0151,2009,2009-08-04,5,INCIDENT,INCIDENT,CARGO SHIFT/CARGO LOSS,CARGO SHIFTED,PACIFIC REGION,"QUEEN CHARLOTTE STRAIT, BC",,50.915,-127.565,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,ARCTIC KAPVIK,CANADA,BARGE - UNSPECIFIED,N/A,236.53,1972,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09W0152,2009,2009-08-04,5,ACCIDENT,SHIPPING ACCIDENT,COLLISION,STRUCK BY VESSEL,PACIFIC REGION,"ROBSON BIGHT, BC",,50.49166,-126.5933,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,KINGFISH,UNITED STATES - US,SHIPS BOAT,Recreational Craft,,,,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,2018-08-15T10:01:40
M09H0002,2009,2009-08-05,5,INCIDENT,INCIDENT,BOTTOM CONTACT,N/A,PACIFIC REGION,"MACKENZIE RIVER MILEV 308, NWT",,62.59166,-123.2216,RIVER,NO,NO,0,0,1,BARGE 1007,CANADA,BARGE - CARGO SOLID,BARGE - GENERAL CARGO,2000,,1969,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09W0153,2009,2009-08-05,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"GODKIN POINT, BC",,50.89888,-127.93,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,VALIANT LADY,CANADA,FISHING,UNKNOWN,30.61,1968,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09W0157,2009,2009-08-05,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,QUEEN CHARLOTTE CHANNEL,,49.35827,-123.318,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,QUEEN OF OAK BAY,CANADA,FERRY,PASSENGER/VEHICLE,6968.91,1981,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09C0032,2009,2009-08-06,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,CENTRAL REGION,"LAKE ERIE, ON",,42.16666,-81.83333,LAKE,NO,NO,0,1,1,ALGOLAKE,CANADA,CARGO - SOLID,BULK CARRIER,22851.53,1977,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09N0027,2009,2009-08-06,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,ATLANTIC REGION,"FORTUNE, NL",,47.07111,-55.92277,AT SEA (GENERAL),NO,NO,0,0,1,GRAY LADY 1,CANADA,FISHING,UNKNOWN,11.95,1987,,FISHING,FISHING,YES,2018-08-15T10:01:40
M09W0154,2009,2009-08-06,5,ACCIDENT,SHIPPING ACCIDENT,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),PACIFIC REGION,"PRINCE RUPERT HARBOUR, BC",,54.50333,-130.5033,HARBOUR AREA,NO,NO,0,0,1,"HOWARD F ""TOO""",CANADA,PASSENGER,PASSENGER - CARGO,4.6,1990,,CARRIAGE OF PEOPLE,SPORTS FISHING,NO,2018-08-15T10:01:40
M09M0044,2009,2009-08-07,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),ATLANTIC REGION,"TIVERTON WHARF, NS",,44.39555,-66.20472,HARBOUR AREA,NO,NO,0,0,1,PETIT PRINCESS,CANADA,FERRY,PASSENGER/VEHICLE,320,2004,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09C0036,2009,2009-08-08,5,ACCIDENT,SHIPPING ACCIDENT,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,CENTRAL REGION,"WESTERN LAKE ONTARIO, ON",,43.32,-79.2825,LAKE,NO,NO,0,0,2,CAPE STORM,CANADA,SERVICE SHIP,PATROL VESSEL (HARBOUR/SECURITY/RCMP),33.79,1999,,SERVICE,PATROL,NO,2018-08-15T10:01:40
M09W0156,2009,2009-08-08,5,ACCIDENT,SHIPPING ACCIDENT,ABANDONED,N/A,PACIFIC REGION,"QUEEN CHAROLETTE SOUND, BC",,51.43333,-129.3611,CHANNEL / STRAIT / SOUND,YES,NO,0,0,1,LYNNWOOD,CANADA,FISHING,TROLLER,17.07,1947,,FISHING,FISHING,YES,2018-08-15T10:01:40
M09W0158,2009,2009-08-08,5,ACCIDENT,SHIPPING ACCIDENT,EXPLOSION,N/A,PACIFIC REGION,"KITKATLA, BC",,53.795,-130.4433,HARBOUR AREA,NO,NO,0,0,1,CHANNEL ROCK,CANADA,FISHING,GILLNETTER,,1978,,FISHING,FISHING,YES,2018-08-15T10:01:40
M09L0128,2009,2009-08-09,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"SEPT ILES, QC",,50.2,-66.38305,HARBOUR AREA,NO,NO,0,0,1,SEA ROBIN,UNITED STATES - US,TUG,N/A,294,1971,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09N0049,2009,2009-08-09,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),ATLANTIC REGION,"CARTWRIGHT, NL",,53.70875,-57.02888,HARBOUR AREA,NO,NO,0,0,1,NORTHERN RANGER,CANADA,PASSENGER,PASSENGER - CARGO,2556,1986,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09W0161,2009,2009-08-09,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"NORTH HECATE STRAIT, BC",,53.42833,-131.8833,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,NORTHERN ADVENTURE,CANADA,PASSENGER,PASSENGER - CARGO,9844,2002,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09M0077,2009,2009-08-10,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,ATLANTIC REGION,"PASSAMAQUODDY BAY, NB",,45.05527,-66.79333,BAY,NO,NO,0,0,1,LADY LEGACY,CANADA,FISHING,UNKNOWN,78.34,2000,,FISHING,AQUACULTURE OPERATIONS,NO,2018-08-15T10:01:40
M09C0081,2009,2009-08-11,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,"BOARDING, BEING ON BOARD, FALLING OVERBOARD FROM THE SHIP",CENTRAL REGION,"LAKE HURON, ONTARIO",,45.4525,-81.8975,LAKE,NO,NO,1,0,1,CHI-CHEEMAUN,CANADA,FERRY,PASSENGER/VEHICLE,6990.65,1974,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09M0045,2009,2009-08-11,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),ATLANTIC REGION,"MISCOU ISLAND, NB",,47.96156,-64.57476,HARBOUR AREA,NO,NO,0,0,1,KIM-LUCIE,CANADA,FISHING,UNKNOWN,12.36,1988,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09C0043,2009,2009-08-12,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,CENTRAL REGION,"LOCK 7, WELLAND CANAL, ON",,43.1343,-79.19222,CANAL,NO,NO,0,1,1,FEN,SINGAPORE,CARGO - LIQUID,PRODUCT/CHEMICAL TANKER,8450,2006,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09M0078,2009,2009-08-12,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,ATLANTIC REGION,"BAY OF FUNDY, NS",,44.995,-66.92166,BAY,NO,NO,0,0,1,PRINCESS OF ACADIA,CANADA,FERRY,PASSENGER/VEHICLE,10050.71,1971,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09W0180,2009,2009-08-12,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"FRASER RIVER, BC",,49.24888,-123.26,RIVER,NO,NO,0,0,1,SEASPAN 489,CANADA,BARGE - UNSPECIFIED,N/A,1046.16,1980,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M09W0159,2009,2009-08-13,5,INCIDENT,INCIDENT,BOTTOM CONTACT,N/A,PACIFIC REGION,"RACE POINT, BC",,50.09833,-125.3183,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,SEASPAN # 20,CANADA,BARGE - CARGO SOLID,BARGE - GENERAL CARGO,,,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09C0034,2009,2009-08-14,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"WINDSOR, ON",,42.35,-83.03333,HARBOUR AREA,NO,NO,0,0,1,BORKUM,LIBERIA,CARGO - SOLID,BULK CARRIER,11264,1994,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09C0035,2009,2009-08-14,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"WELLAND CANAL, ON",,43.21662,-79.21315,LOCK,NO,NO,0,0,1,MONTREALAIS,CANADA,CARGO - SOLID,BULK CARRIER,17646.61,1962,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09M0046,2009,2009-08-16,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),ATLANTIC REGION,"COCAGNE, NB",,46.38194,-64.57805,HARBOUR AREA,NO,NO,0,0,1,AFTER VIA,CANADA,FISHING,UNKNOWN,10,1986,,UNKNOWN,N/A,NO,2018-08-15T10:01:40
M09W0160,2009,2009-08-17,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"MALASPINA STRAIT, BC",,49.81333,-124.55,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,MAGIC MAKER,CANADA,FISHING,TRAWLER,10.77,1967,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09W0162,2009,2009-08-17,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"MID STRAIT OF GEORGIA, BC",,48.94666,-123.2083,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,SPIRIT OF BRITISH COLUMBIA,CANADA,FERRY,PASSENGER/VEHICLE,18747.44,1992,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09L0140,2009,2009-08-18,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),CENTRAL REGION,"LOWER NORTH SHORE, QC",,50.2,-63.14027,HARBOUR AREA,NO,NO,0,0,1,LE BOUT DU BANC,CANADA,FISHING,UNKNOWN,13.21,1985,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09N0028,2009,2009-08-18,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),ATLANTIC REGION,"CHANNEL PORT AUX BASQUES, NL",,47.57944,-59.14111,HARBOUR AREA,NO,NO,0,0,1,ATLANTIC VISION,CANADA,FERRY,PASSENGER/VEHICLE,30285,2002,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09N0029,2009,2009-08-18,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),ATLANTIC REGION,"PORTUGAL COVE, NL",,47.62666,-52.85666,LAKE,NO,NO,0,0,1,FLANDERS,CANADA,FERRY,PASSENGER/VEHICLE,1035,1990,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09W0163,2009,2009-08-18,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"FRASER RIVER, BC",,49.09863,-123.1504,RIVER,NO,NO,0,0,1,SHARLENE K.,CANADA,FISHING,UNKNOWN,147.37,1966,1978,FISHING,FISHING,NO,2018-08-15T10:01:40
M09W0164,2009,2009-08-18,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"CHATHAM SOUND, BC",,53.54333,-130.5433,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,MARBRISA,CANADA,FISHING,UNKNOWN,14.26,1962,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09L0141,2009,2009-08-20,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,CENTRAL REGION,"PORT OF QUEBEC, QC",,46.82055,-71.19861,HARBOUR AREA,NO,NO,0,1,1,MILNE INLET,CANADA,BARGE - UNSPECIFIED,N/A,751,1981,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M09M0047,2009,2009-08-20,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),ATLANTIC REGION,"SAMBRO, NS",,44.34722,-63.54722,AT SEA (GENERAL),NO,NO,0,0,1,AMELIA GERTRUDE TERESA,CANADA,FISHING,UNKNOWN,7,1976,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09W0167,2009,2009-08-21,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"FRASER RIVER, BC",,49.24888,-123.26,RIVER,NO,NO,0,0,1,SEASPAN 488,CANADA,BARGE - UNSPECIFIED,N/A,1046.16,1980,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M09C0046,2009,2009-08-22,5,ACCIDENT,SHIPPING ACCIDENT,EXPLOSION,N/A,CENTRAL REGION,"WHITSON LAKE, NEAR SUDBURY, ON.",,46.3544,-81.87132,LAKE,YES,NO,0,0,1,UNK/INC POLICE,CANADA,SERVICE SHIP,PATROL VESSEL (HARBOUR/SECURITY/RCMP),,,,SERVICE,PATROL,YES,2018-08-15T10:01:40
M09W0165,2009,2009-08-22,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"VANCOUVER TERMINAL BERTH 6, BC",,49.28944,-123.0758,HARBOUR AREA,NO,NO,0,0,1,HANJIN WASHINGTON,KENYA,CARGO - SOLID,CONTAINER SHIP,65643,1996,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09W0168,2009,2009-08-22,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,"BOARDING, BEING ON BOARD, FALLING OVERBOARD FROM THE SHIP",PACIFIC REGION,"DEVILS HOLE, DENT RAPIDS, BC",,50.41666,-125.2166,CHANNEL / STRAIT / SOUND,NO,NO,1,0,1,UNDERCOVER,CANADA,FISHING,UNKNOWN,,,,CARRIAGE OF PEOPLE,SPORTS FISHING,NO,2018-08-15T10:01:40
M09W0166,2009,2009-08-23,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"DELKATLA INLET, BC",,54.0046,-132.1443,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,SCANIA QUEEN,CANADA,FISHING,TROLLER,14.73,1967,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09C0037,2009,2009-08-24,5,ACCIDENT,SHIPPING ACCIDENT,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,CENTRAL REGION,"NEAR PORT DOVER, ON",,42.78121,-80.20488,LAKE,NO,NO,0,1,2,C.S.POWELL,CANADA,TUG,N/A,30,,,CARRIAGE OF PEOPLE,SPORTS FISHING,NO,2018-08-15T10:01:40
M09W0169,2009,2009-08-25,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"DUGOUT ROCKS, BC",,51.31,-127.8733,AT SEA (GENERAL),NO,NO,0,0,1,GULF RIVAL,CANADA,TUG,N/A,14.87,1968,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M09W0171,2009,2009-08-25,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"GARRY POINT, BC",,49.125,-123.2,RIVER,NO,NO,0,0,1,FIVE ACES,CANADA,FISHING,GILLNETTER,,,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09W0173,2009,2009-08-25,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),PACIFIC REGION,"MCLOUGHLIN BAY, BC",,52.135,-128.1383,BAY,NO,NO,0,0,1,CAPE FREEMAN,CANADA,FISHING,SEINER,58.07,1974,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09C0038,2009,2009-08-26,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,CENTRAL REGION,"ST. LAWRENCE RIVER, ON",,44.82543,-75.30801,RIVER,NO,NO,0,0,1,EIDER,CHINA,CARGO - SOLID,BULK CARRIER,22792,2004,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09W0174,2009,2009-08-27,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,"BOARDING, BEING ON BOARD, FALLING OVERBOARD FROM THE SHIP",PACIFIC REGION,"CAPE MUDGE, STRAIT OF GEORGIA, BC",,50,-125.1833,CHANNEL / STRAIT / SOUND,NO,NO,1,0,1,ALEUTIAN FALCON,UNITED STATES - US,FISHING,PROCESSOR/FACTORY,1087,1981,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09C0080,2009,2009-08-28,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"LAKE HARRINGTON, QC",,45.56298,-75.94525,LAKE,YES,NO,0,0,1,RCMP ZODIAC ES-XDC-R-733C-G203,CANADA,SHIPS BOAT,Recreational Craft,,,,SERVICE,PATROL,NO,2018-08-15T10:01:40
M09W0181,2009,2009-08-28,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),PACIFIC REGION,"FRASER RIVER, CHILLIWACK, BC",,49.17666,-122.0033,RIVER,NO,NO,0,2,1,WC 105,CANADA,SERVICE SHIP,LIFEBOAT/SEARCH AND RESCUE,,1997,,SERVICE,PATROL,NO,2018-08-15T10:01:40
M09M0048,2009,2009-08-30,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),ATLANTIC REGION,"MISCOU, NB",,47.88222,-64.59166,AT SEA (GENERAL),NO,NO,0,0,1,WHISKEY RIVER,CANADA,FISHING,UNKNOWN,33.7,1987,,UNKNOWN,N/A,NO,2018-08-15T10:01:40
M09W0175,2009,2009-08-30,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"SEYMOUR NARROWS, BC",,50.16694,-125.3566,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,RISING SPIRIT,UNITED STATES - US,FISHING,SEINER,60,1988,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09L0147,2009,2009-08-31,5,INCIDENT,INCIDENT,BOTTOM CONTACT,N/A,CENTRAL REGION,"POVUNGNITUQ, QC",,60.03116,-77.26012,RIVER,YES,NO,0,0,1,ZELADA DESGAGNES,CANADA,CARGO - SOLID,GENERAL CARGO,9611,2009,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09L0148,2009,2009-08-31,5,ACCIDENT,SHIPPING ACCIDENT,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",CENTRAL REGION,"PORT CARTIER, QC",,50.03305,-66.78305,HARBOUR AREA,NO,NO,0,0,1,PINEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,20370.36,1985,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09H0003,2009,2009-09-01,5,ACCIDENT,SHIPPING ACCIDENT,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",CENTRAL REGION,"SACH'S HARBOUR, NWT",,71.98305,-125.2483,HARBOUR AREA,NO,NO,0,0,1,UNK/INC BARGE,CANADA,BARGE - CARGO SOLID,BARGE - GENERAL CARGO,2190,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09H0009,2009,2009-09-01,5,ACCIDENT,SHIPPING ACCIDENT,GROUNDING,UNDER POWER (NON-INTENTIONAL),CENTRAL REGION,"CHESTERFIELD INLET, NU",,63.94416,-93.6375,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,TRANSPORT 1,CANADA,BARGE - CARGO SOLID,BARGE - GENERAL CARGO,9293,,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09L0155,2009,2009-09-01,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,CENTRAL REGION,"GULF OF ST. LAWRENCE, QC",,47.44111,-62.67694,AT SEA (GENERAL),NO,NO,0,0,1,OCEAN ECHO II,CANADA,TUG,N/A,438.15,1969,,SERVICE,"TOWING, ASSISTING",NO,2018-08-15T10:01:40
M09W0176,2009,2009-09-01,5,ACCIDENT,SHIPPING ACCIDENT,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,PACIFIC REGION,"PRINCE RUPERT HARBOUR, BC",,54.31745,-130.343,HARBOUR AREA,NO,NO,0,0,2,THEOFYLAKTOS,MALTA,CARGO - SOLID,BULK CARRIER,39027,1995,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09L0154,2009,2009-09-02,5,ACCIDENT,ACCIDENT ABOARD SHIP,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,CENTRAL REGION,"NEAR BAIE SAINTE-CATHERINE, QC",,48.11583,-69.72055,AT SEA (GENERAL),NO,NO,0,1,1,SENTINELLE III,CANADA,PASSENGER,PASSENGER - CARGO,8,1993,,CARRIAGE OF PEOPLE,EXCURSION - WHALE WATCHING,NO,2018-08-15T10:01:40
M09H0006,2009,2009-09-04,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,CENTRAL REGION,BEAUFORT SEA,,74.58333,-137.11,AT SEA (GENERAL),NO,NO,0,0,1,AMUNDSEN,CANADA,SERVICE SHIP,ICEBREAKER,5910.42,1978,,SERVICE,RESEARCH,NO,2018-08-15T10:01:40
M09L0150,2009,2009-09-05,5,INCIDENT,INCIDENT,RISK OF SINKING,N/A,CENTRAL REGION,"BAIE DES CHALEURS, QC",,48.38653,-64.49935,BAY,NO,NO,0,0,1,GRIZZLI VIII,CANADA,FISHING,UNKNOWN,13.3,1989,,FISHING,FISHING,NO,2018-08-15T10:01:40
M09N0030,2009,2009-09-05,5,ACCIDENT,SHIPPING ACCIDENT,FIRE,N/A,ATLANTIC REGION,"90 NM EAST OF CAPE FREELS, NL",,49.32166,-51.16833,AT SEA (GENERAL),NO,NO,0,0,1,HAVRE AUX MAISONS,CANADA,FISHING,UNKNOWN,70.23,1984,,FISHING,FISHING,YES,2018-08-15T10:01:40
M09C0039,2009,2009-09-06,5,ACCIDENT,SHIPPING ACCIDENT,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),CENTRAL REGION,"ST.LAMBERT LOCK, QC",,45.49665,-73.51812,LOCK,NO,NO,0,0,1,FEDERAL MATANE,NORWAY,CARGO - SOLID,BULK CARRIER,16861,1984,,CARRIAGE OF GOODS,N/A,NO,2018-08-15T10:01:40
M09F0011,2009,2009-09-06,5,ACCIDENT,SHIPPING ACCIDENT,SANK,FLOODING,FOREIGN WATERS,NORTH PACIFIC,,33,-130,AT SEA (GENERAL),NO,NO,0,0,1,ALGOPORT,CANADA,CARGO - SOLID,BULK CARRIER,20222.9,1979,,SERVICE,"TOWING, ASSISTING",YES,2018-08-15T10:01:40
M09W0177,2009,2009-09-06,5,INCIDENT,INCIDENT,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,PACIFIC REGION,"RIPPLE POINT, BC",,50.37448,-125.5743,CHANNEL / STRAIT / SOUND,NO,NO,0,0,1,ZUIDERDAM,NETHERLANDS,PASSENGER,PASSENGER - CARGO,81769,2002,,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
M09W0179,2009,2009-09-06,5,INCIDENT,INCIDENT,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),PACIFIC REGION,"FIRST NARROWS BRIDGE, VANCOUVER, BC",,49.29333,-123.1255,HARBOUR AREA,NO,NO,0,0,2,MAGIC MOMENT,CANADA,PASSENGER,PASSENGER - CARGO,119,1995,1998,CARRIAGE OF PEOPLE,GENERAL,NO,2018-08-15T10:01:40
